Provincia,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020
Buenos Aires,0,0,0,1,0,1,0,1,1,2,1,4,1,1,2,6,15,9,15,8,5,29,30,27,34,8,16,36,17,10,36,22,26,33,12,34,17,28,19
Capital Federal,1,0,2,4,0,2,1,1,1,5,2,5,6,5,4,10,8,9,29,12,10,29,19,29,32,18,14,34,19,10,24,28,34,32,17,24,18,23,11
Catamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,0,0,0,0,0,0,2,0,0,2,0,1,2,3,1,1,2,1,5,7,4,9,12,3,5,5,4,12,3,12,3,8,8,0,4,4,15,6,5
Chubut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordoba,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,3,5,4,8,3,7,15,3,1,0,18,8,14,6,16,14,3,5,7,4,1,5,13
Corrientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,4,1,10,1,1,1,0,0,0,2,0,0,0,0
Entre Rios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,4,0,0,3,0,1,2,2,0,1,0,1,0,2,0
Formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
La Pampa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1
La Rioja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,2,1,0,0,5,0
Mendoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,1,3,2,10,0,2,0,2,1,2,6,2,9
Misiones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Neuquen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,3,2,0,8,0,4,4,1,4,11,6,3,17,7,7
Rio Negro,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,1,0,0,1,5,2,2,2,1,13,7
Salta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
San Luis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,2,0,0,0,0,0,10,2,0,1,1,0,8,0,0,6
Santa Fe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,13,3,22,12,10,13,13,21,22,11,8,8,5,11,8,3,2,7,1
Santiago del Estero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,0
Tierra del Fuego,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,4,1,2,0,4,4,11,7,0,24,1,8,3,2,2,2,0,2
Tucuman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,6,0,0,0,1,1,4,0,1,0,5,1,0,1,0
